event_slug,event_name,pair_id,anchor,smt,n,wr,pf,net_pts,missing
ism-services,ISM Services,es_smt_nq,ES,NQ,47,0.525,2.052,95.8,False
ism-services,ISM Services,gc_smt_si,GC,SI,52,0.4722,1.288,13.9,False
ism-services,ISM Services,ym_smt_nq,YM,NQ,44,0.4062,1.622,415.0,False
ism-services,ISM Services,ym_smt_es,YM,ES,30,0.5217,2.619,651.0,False
ism-services,ISM Services,es_smt_ym,ES,YM,40,0.5,1.564,53.0,False
ism-services,ISM Services,nq_smt_ym,NQ,YM,34,0.44,1.212,62.8,False
joblessclaims,Jobless Claims,nq_smt_es,NQ,ES,105,0.5698,1.914,892.2,False
joblessclaims,Jobless Claims,es_smt_nq,ES,NQ,222,0.5172,1.357,99.2,False
joblessclaims,Jobless Claims,gc_smt_si,GC,SI,248,0.5249,1.725,169.5,False
joblessclaims,Jobless Claims,ym_smt_nq,YM,NQ,212,0.4304,1.127,263.0,False
joblessclaims,Jobless Claims,ym_smt_es,YM,ES,198,0.4467,1.222,423.0,False
joblessclaims,Jobless Claims,es_smt_ym,ES,YM,189,0.5115,1.312,75.5,False
joblessclaims,Jobless Claims,nq_smt_ym,NQ,YM,204,0.3924,1.081,86.0,False
jolts,JOLTS,nq_smt_es,NQ,ES,18,0.4615,0.709,-61.5,False
jolts,JOLTS,es_smt_nq,ES,NQ,23,0.3684,0.224,-57.0,False
jolts,JOLTS,gc_smt_si,GC,SI,51,0.675,1.874,56.1,False
jolts,JOLTS,ym_smt_nq,YM,NQ,30,0.4091,0.466,-218.0,False
jolts,JOLTS,ym_smt_es,YM,ES,27,0.4762,0.663,-116.0,False
jolts,JOLTS,es_smt_ym,ES,YM,21,0.3529,0.136,-47.5,False
jolts,JOLTS,nq_smt_ym,NQ,YM,30,0.381,0.659,-63.2,False
nfp,NFP,nq_smt_es,NQ,ES,23,0.6667,5.855,888.5,False
nfp,NFP,es_smt_nq,ES,NQ,46,0.4571,2.407,150.5,False
nfp,NFP,gc_smt_si,GC,SI,54,0.6364,3.563,168.4,False
nfp,NFP,ym_smt_nq,YM,NQ,51,0.4054,0.758,-231.0,False
nfp,NFP,ym_smt_es,YM,ES,40,0.5161,1.582,333.0,False
nfp,NFP,es_smt_ym,ES,YM,34,0.4828,3.033,138.8,False
nfp,NFP,nq_smt_ym,NQ,YM,42,0.5,2.829,533.5,False
pce,PCE,nq_smt_es,NQ,ES,29,0.5909,3.052,388.2,False
pce,PCE,es_smt_nq,ES,NQ,47,0.5312,1.421,30.0,False
pce,PCE,gc_smt_si,GC,SI,58,0.5556,1.758,35.8,False
pce,PCE,ym_smt_nq,YM,NQ,53,0.55,1.834,397.0,False
pce,PCE,ym_smt_es,YM,ES,52,0.561,2.025,496.0,False
pce,PCE,es_smt_ym,ES,YM,39,0.5,0.924,-5.2,False
pce,PCE,nq_smt_ym,NQ,YM,48,0.5161,1.538,130.2,False
philly-fed,Philly Fed,nq_smt_es,NQ,ES,34,0.5333,1.609,230.0,False
philly-fed,Philly Fed,es_smt_nq,ES,NQ,61,0.4286,1.014,1.2,False
philly-fed,Philly Fed,gc_smt_si,GC,SI,51,0.5789,2.704,73.1,False
philly-fed,Philly Fed,ym_smt_nq,YM,NQ,57,0.5,1.862,344.0,False
philly-fed,Philly Fed,ym_smt_es,YM,ES,55,0.4634,1.505,214.0,False
philly-fed,Philly Fed,es_smt_ym,ES,YM,50,0.4333,1.152,10.5,False
philly-fed,Philly Fed,nq_smt_ym,NQ,YM,58,0.4167,1.772,200.2,False
ppi,PPI,nq_smt_es,NQ,ES,31,0.5714,2.442,281.2,False
ppi,PPI,es_smt_nq,ES,NQ,48,0.6071,2.514,67.0,False
ppi,PPI,gc_smt_si,GC,SI,60,0.4762,1.658,34.0,False
ppi,PPI,ym_smt_nq,YM,NQ,43,0.5806,1.292,143.0,False
ppi,PPI,ym_smt_es,YM,ES,45,0.5455,1.84,383.0,False
ppi,PPI,es_smt_ym,ES,YM,48,0.4848,0.922,-7.0,False
ppi,PPI,nq_smt_ym,NQ,YM,51,0.3,0.834,-64.0,False
retailsales,Retail Sales,nq_smt_es,NQ,ES,28,0.5263,2.657,356.2,False
retailsales,Retail Sales,es_smt_nq,ES,NQ,59,0.6512,4.168,146.5,False
retailsales,Retail Sales,gc_smt_si,GC,SI,59,0.5957,3.092,118.8,False
retailsales,Retail Sales,ym_smt_nq,YM,NQ,50,0.4571,2.132,522.0,False
retailsales,Retail Sales,ym_smt_es,YM,ES,52,0.4857,2.423,636.0,False
retailsales,Retail Sales,es_smt_ym,ES,YM,52,0.5833,1.593,32.0,False
retailsales,Retail Sales,nq_smt_ym,NQ,YM,49,0.4211,2.427,328.5,False
